#'chr'	'start'	'end'	'GSM1402790_cit0min_merged.norm.bigWig'
chr1	11873	14409	nan
chr1	11873	14409	nan
chr1	11873	14409	nan
chr1	14361	16765	nan
chr1	14361	19759	1.399999976
chr1	14361	19759	1.399999976
chr1	14361	19759	1.399999976
chr1	14361	29370	1.399999936
chr1	14361	29370	1.399999936
chr1	14361	29370	1.399999936
chr1	14361	29370	1.399999936
chr1	14406	29370	1.399999936
chr1	14406	29370	1.399999936
chr1	15602	29370	1.399999936
chr1	15795	18061	1.399999976
chr1	16606	29370	1.399999936
chr1	16606	29370	1.399999936
chr1	16857	17751	1.399999976
chr1	16857	19759	1.399999976
chr1	16857	29370	1.399999936
chr1	16857	29961	1.399999936
chr1	17232	29370	1.399999936
chr1	17605	29370	1.399999936
chr1	34610	36081	nan
chr1	69090	70008	nan
chr1	134772	140566	nan
chr1	321083	321115	nan
chr1	321145	321207	nan
chr1	322036	326938	nan
chr1	323891	328581	nan
chr1	324287	325896	nan
chr1	327545	328439	nan
chr1	367658	368597	nan
chr1	420205	421839	nan
chr1	566092	566115	nan
chr1	566134	566155	nan
chr1	566239	566263	nan
chr1	568843	568913	nan
chr1	621095	622034	nan
chr1	661138	665731	nan
chr1	661138	670994	nan
chr1	661138	679736	nan
chr1	668417	668479	nan
chr1	668509	668541	nan
chr1	671823	671885	nan
chr1	671915	671947	nan
chr1	674239	679736	nan
chr1	700244	714068	2.040123198
chr1	761585	762902	1.399999976
chr1	762970	778984	1.399999972
chr1	762970	794826	1.399999992
chr1	762970	794826	1.399999992
chr1	762970	794826	1.399999992
chr1	762970	794826	1.399999992
chr1	763177	794826	1.399999992
chr1	803450	812182	1.399999976
chr1	846814	850328	2.104214591
chr1	852952	854817	1.399999976
chr1	852952	854817	1.399999976
chr1	860529	871276	1.728362003
chr1	861120	879961	1.801343304
chr1	861301	879533	1.811176418
chr1	861301	879533	1.811176418
chr1	861301	879533	1.811176418
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	861301	879961	1.802633083
chr1	874654	879533	1.7
chr1	876523	879961	1.399999976
chr1	879582	882440	1.399999976
chr1	879582	893918	1.780852928
chr1	879582	894679	1.790567776
chr1	879582	894679	1.790567776
chr1	893648	894679	1.900000016
chr1	895966	901099	1.60616113
chr1	896828	897858	1.399999976
chr1	897008	897858	1.399999976
chr1	897460	901099	1.712949641
chr1	897734	899229	1.482417565
chr1	901876	910484	1.980543008
chr1	901876	910484	1.980543008
chr1	901876	910484	1.980543008
chr1	910578	912021	1.399999976
chr1	910578	917473	1.7
chr1	934341	935552	1.399999976
chr1	934341	935552	1.399999976
chr1	948846	949919	nan
chr1	955502	991499	2.025183406
chr1	995082	997436	1.399999976
chr1	995116	1001833	1.672727271
chr1	1007125	1009687	2.481715625
chr1	1007196	1007946	1.399999976
chr1	1017197	1026945	2.140000033
chr1	1017197	1027554	2.081365482
